# Feed Mass Frac,Mono to Di Ratio,Temperature,Density,Enthalpy,Vapor Pressure
5.000000e-03,3.333333e-01,3.081500e+02,9.978835e+02,-1.454458e+05,5.546624e+03
5.000000e-03,3.333333e-01,3.181500e+02,9.938732e+02,-1.870862e+05,9.450273e+03
5.000000e-03,3.333333e-01,3.281500e+02,9.891290e+02,-2.288585e+05,1.551157e+04
5.000000e-03,3.333333e-01,3.381500e+02,9.837901e+02,-2.707853e+05,2.461350e+04
5.000000e-03,3.333333e-01,3.481500e+02,9.775586e+02,-3.129607e+05,3.786471e+04
5.000000e-03,3.333333e-01,3.581500e+02,9.713355e+02,-3.553095e+05,5.665133e+04
5.000000e-03,3.333333e-01,3.681500e+02,9.646274e+02,-3.979732e+05,8.260719e+04
5.000000e-03,5.000000e-01,2.981500e+02,1.000048e+03,-1.039521e+05,3.121392e+03
5.000000e-03,5.000000e-01,3.081500e+02,9.969820e+02,-1.454934e+05,5.542417e+03
5.000000e-03,5.000000e-01,3.181500e+02,9.931282e+02,-1.871260e+05,9.443898e+03
5.000000e-03,5.000000e-01,3.281500e+02,9.885887e+02,-2.288775e+05,1.550274e+04
5.000000e-03,5.000000e-01,3.381500e+02,9.834377e+02,-2.707780e+05,2.460184e+04
5.000000e-03,5.000000e-01,3.481500e+02,9.777301e+02,-3.128686e+05,3.785733e+04
5.000000e-03,5.000000e-01,3.581500e+02,9.715071e+02,-3.552046e+05,5.664028e+04
5.000000e-03,5.000000e-01,3.681500e+02,9.647994e+02,-3.978548e+05,8.259108e+04
5.000000e-03,1.000000e+00,2.981500e+02,1.000677e+03,-1.038667e+05,3.120780e+03
5.000000e-03,1.000000e+00,3.081500e+02,9.973176e+02,-1.454062e+05,5.540436e+03
5.000000e-03,1.000000e+00,3.181500e+02,9.934585e+02,-1.870181e+05,9.440491e+03
5.000000e-03,1.000000e+00,3.281500e+02,9.889154e+02,-2.287486e+05,1.549711e+04
5.000000e-03,1.000000e+00,3.381500e+02,9.844028e+02,-2.705351e+05,2.460123e+04
5.000000e-03,1.000000e+00,3.481500e+02,9.786085e+02,-3.126060e+05,3.785479e+04
5.000000e-03,1.000000e+00,3.581500e+02,9.722837e+02,-3.549274e+05,5.663362e+04
